StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
3,VIC,McMillan,227,28,Drouin,Current,Drouin Primary School,Princes Way,,,DROUIN,VIC,3818,4391,Primary School,Princes Way,DROUIN,,,Gateway access is from both Princes Way and School Rd.,-38.1334,145.855,2180703,Assisted,3023,191,7,2
3,VIC,McMillan,227,28,Drouin South,Current,Drouin South Primary School,3061 Westernport Rd,,,DROUIN SOUTH,VIC,3818,3750,Primary School,3061 Westernport Rd,DROUIN SOUTH,,,Entrance to the polling place is from th e car park accessible from Westernport R d.,-38.1721,145.826,2180708,Assisted,510,31,2,1
3,VIC,McMillan,227,28,Drouin Summerhill,Current,Drouin Secondary College,Main South Rd,,,DROUIN,VIC,3818,64676,Secondary College,Main South Rd,DROUIN,,,Entrance to the polling place is from th e carpark accessible from Main South Rd.,-38.14451,145.850712,2180704,Assisted,708,44,2,1
3,VIC,McMillan,227,28,Drouin West,Current,Drouin West Primary School,535 Main Neerim Rd,,,DROUIN WEST,VIC,3818,4392,Primary School,535 Main Neerim Rd,DROUIN WEST,,,Entrance to the polling place is accesse d via the car park in Main Neerim Rd.,-38.0871,145.872,2180609,Assisted,435,29,0,1
3,VIC,McMillan,227,28,Dudley,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Dumbalk,Current,Dumbalk Public Hall,Farmers Rd,,,DUMBALK,VIC,3956,3751,Public Hall,Farmers Rd,DUMBALK,,,Entrance to the polling place is in Farmers Rd.,-38.5323,146.094,2200408,Assisted,376,20,0,1
3,VIC,McMillan,227,28,Ellinbank,Current,Ellinbank Primary School,Hazeldean Rd,,,ELLINBANK,VIC,3821,3754,Primary School,Hazeldean Rd,ELLINBANK,,,Gateway to the polling place is in Commu nity Place accessed via Hazeldean Rd.,-38.24,145.938,2180805,Assisted,208,3,0,1
3,VIC,McMillan,227,28,Erica,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Fish Creek,Current,Fish Creek Memorial Hall,13 Falls Rd,,,FISH CREEK,VIC,3959,3757,Memorial Hall,13 Falls Rd,FISH CREEK,,,Entrance to the polling place is from Fa lls Rd.,-38.6919,146.083,2200503,Assisted,656,70,2,1
3,VIC,McMillan,227,28,Foster,Current,South Gippsland Secondary College,Pioneer St,,,FOSTER,VIC,3960,3760,South Gippsland Secondary College,Pioneer St,FOSTER,,,Gateway entrance to the polling place is from Pioneer St.,-38.6516,146.196,2200610,Assisted,1137,135,3,2
3,VIC,McMillan,227,28,Garfield,Current,Garfield Primary School,84 Railway Ave,,,GARFIELD,VIC,3814,4395,Primary School,84 Railway Ave,GARFIELD,,,Gateway entrance to the polling place is in Railway Ave.,-38.0906,145.674,2341507,Assisted,907,50,2,1
3,VIC,McMillan,227,28,Hill End,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Inverloch,Current,Inverloch Community Hub,16 A'Beckett Street,,,INVERLOCH,VIC,3996,3772,Community Hub,16 A'Beckett St,INVERLOCH,,,Entrance to the polling place is from A' Beckett St.,-38.6335,145.728,2200209,Assisted,1924,316,4,3
